,npi,nppes_provider_city,nppes_provider_zip,nppes_provider_state,avg_medicare_pay_ratio,payed_to_requested_ratio,Cluster
11684,1851527170.0,LAFAYETTE,479054972,IN,0.979731294681107,0.200316225559694,2
11689,1750333928.0,INDIANAPOLIS,462022872,IN,0.9745520775782808,0.22416121004281037,2
11703,1194725135.0,MUNSTER,46321,IN,0.9503667199022109,0.31113196187841696,2
11720,1659660553.0,INDIANAPOLIS,462221616,IN,0.9881945495503359,0.153204217432186,2
11729,1861549685.0,INDIANAPOLIS,462565630,IN,0.9813399032328609,0.19228102954508852,2
11741,1003066325.0,INDIANAPOLIS,462025149.0,IN,0.9625222753868642,0.27120263528235355,2
11743,1821084252.0,INDIANAPOLIS,462025112,IN,0.9537044516062881,0.3007454388454617,2
11756,1518990530.0,COLUMBUS,472031545,IN,0.9479907827204165,0.31829777862425,2
11761,1376780916.0,NOBLESVILLE,460604303,IN,0.9738229154037119,0.22730800565447548,2
11769,1194973420.0,FORT WAYNE,468047141,IN,0.9639752516222584,0.2659919439753839,2
11775,1902849540.0,INDIANAPOLIS,462025306,IN,0.9928512271299756,0.1193584550272898,2
11777,1629160601.0,SOUTH BEND,466011098,IN,0.9625066245509819,0.2712581753523296,2
11780,1407290828.0,INDIANAPOLIS,462565630,IN,0.9778210246341499,0.2094422206323771,2
11782,1568421402.0,INDIANAPOLIS,462561695,IN,0.982026972693792,0.1887406286464744,2
11784,1447297684.0,INDIANAPOLIS,462608901,IN,0.9929484450350076,0.11854697593174007,2
11785,1295069276.0,MUNCIE,473044529,IN,0.9798084926755266,0.19993828468032868,2
11796,1336138650.0,NEWBURGH,476308947,IN,0.9549737645549219,0.2966902576961376,2
11797,1902824469.0,LAFAYETTE,47905,IN,0.9605712601505417,0.2780339083147959,2
11801,1083814537.0,EVANSVILLE,477500001,IN,0.9900018708727057,0.14105422953085245,2
11802,1508070012.0,RICHMOND,473741157,IN,0.980402264089288,0.19700609271948435,2
11804,1558343020.0,INDIANAPOLIS,462601902,IN,0.9745949362059773,0.2239747984074703,2
11806,1023271947.0,INDIANAPOLIS,462602193,IN,0.9812123824376069,0.19293071437984002,2
11812,1801310032.0,FORT WAYNE,468251604,IN,0.9605179640641782,0.2782179733770017,2
11813,1134468218.0,INDIANAPOLIS,462378601,IN,0.9915016260238698,0.13009429500182546,2
11815,1487796652.0,INDIANAPOLIS,462025149,IN,0.9578957996291151,0.28711606895626424,2
11818,1326039868.0,TERRE HAUTE,478042706,IN,0.9961539905162102,0.08761978759749543,2
11832,1184647232.0,BEECH GROVE,461071541,IN,0.9976827583229017,0.06803759067755719,2
11834,1902818677.0,INDIANAPOLIS,462378601,IN,0.9843509941024553,0.17621895587452605,2
11835,1104039288.0,SOUTH BEND,466012371,IN,0.9765684725843155,0.21520691985699963,2
11851,1821042375.0,MERRILLVILLE,464106254,IN,0.9831120908094958,0.18300441771766549,2
11860,1467473330.0,KOKOMO,469015148,IN,0.9574350326484348,0.2886488493957508,2
11875,1780704304.0,FORT WAYNE,468451701,IN,0.956449148151913,0.2918990013677337,2
11876,1013967462.0,INDIANAPOLIS,462605924,IN,0.9750970810604339,0.2217784536590999,2
11877,1275973877.0,INDIANAPOLIS,462378601,IN,0.99058858438795,0.1368731400979649,2
11895,1598862120.0,EVANSVILLE,477157196,IN,0.9683283889067011,0.2496800577486169,2
11897,1790868305.0,MUNCIE,473033428,IN,0.9664900459633566,0.2567040923977428,2
11899,1023090016.0,GOSHEN,465264810,IN,0.9649821145258201,0.26231568509198394,2
11903,1093807091.0,OMAHA,681143629,NE,0.9509989930938427,0.30919397654950714,2
11911,1770514952.0,SCOTTSBLUFF,693614602,NE,0.9861296573720114,0.16597680214825086,2
11919,1386987089.0,OMAHA,681982303,NE,0.9678851133507922,0.251392934176608,2
11928,1336127950.0,GENOA,686403036,NE,0.9493440328498581,0.3142386152152014,2
11929,1780913749.0,OMAHA,681988102,NE,0.9985911226883084,0.05306382654976602,2
